"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2014-12-01T00:00:00Z","male",715,TRUE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",725,FALSE,"non fresh",NA,1
"2011-11-17T00:00:00Z","female",750,FALSE,"non fresh","spawned",1
"2013-11-13T00:00:00Z","male",755,FALSE,"non fresh",NA,1
"2011-11-17T00:00:00Z","female",760,FALSE,"fresh","spawned",1
"2013-10-08T00:00:00Z","male",760,TRUE,"non fresh",NA,1
"2013-11-05T00:00:00Z","male",780,FALSE,"non fresh",NA,1
"2013-11-26T00:00:00Z","female",790,FALSE,"fresh","unspawned",1
"2014-12-01T00:00:00Z","male",825,FALSE,"non fresh",NA,1
"2013-11-05T00:00:00Z","female",840,FALSE,"fresh","unspawned",1
"2019-09-18T00:00:00Z","male",843,TRUE,"fresh",NA,1
"2011-10-20T00:00:00Z","male",845,FALSE,NA,NA,1
"2020-11-19T00:00:00Z","male",855,FALSE,"fresh","unspawned",1
"2013-11-13T00:00:00Z","male",860,FALSE,"fresh",NA,1
"2013-11-13T00:00:00Z","male",860,FALSE,"non fresh",NA,1
"2014-11-19T00:00:00Z","male",885,FALSE,"fresh",NA,1
"2014-11-24T00:00:00Z","female",890,FALSE,"fresh","spawned",1
"2014-11-19T00:00:00Z","female",900,FALSE,"non fresh","spawned",1
"2013-11-05T00:00:00Z","male",900,FALSE,"non fresh",NA,1
"2011-11-10T00:00:00Z","male",580,TRUE,"fresh",NA,1
"2011-11-03T00:00:00Z","male",585,FALSE,"fresh",NA,1
"2014-10-28T00:00:00Z","male",615,FALSE,"non fresh",NA,1
"2013-11-19T00:00:00Z","female",620,TRUE,"fresh","spawned",1
"2011-11-17T00:00:00Z","female",625,TRUE,"non fresh","spawned",1
"2011-10-20T00:00:00Z","male",635,FALSE,"non fresh",NA,1
"2011-10-20T00:00:00Z","male",640,FALSE,"fresh",NA,1
"2013-10-22T00:00:00Z","male",650,TRUE,"non fresh",NA,1
"2011-11-23T00:00:00Z","male",655,FALSE,"fresh",NA,1
"2013-10-29T00:00:00Z","male",720,FALSE,"non fresh",NA,1
"2011-12-01T00:00:00Z","male",755,TRUE,"non fresh",NA,1
"2013-10-29T00:00:00Z","male",780,FALSE,"fresh",NA,1
"2013-10-15T00:00:00Z","male",780,TRUE,"fresh",NA,1
"2011-11-23T00:00:00Z","female",805,FALSE,"non fresh","spawned",1
"2011-11-10T00:00:00Z","male",810,FALSE,"non fresh",NA,1
"2014-10-20T00:00:00Z","male",820,TRUE,"fresh",NA,1
"2013-10-22T00:00:00Z","male",850,TRUE,"non fresh",NA,1
"2013-10-29T00:00:00Z","male",855,FALSE,"fresh",NA,1
"2013-10-29T00:00:00Z","male",860,FALSE,"non fresh",NA,1
"2016-10-20T00:00:00Z","male",885,TRUE,"non fresh",NA,1
"2011-10-20T00:00:00Z","male",890,FALSE,"non fresh",NA,1
"2013-11-19T00:00:00Z","male",890,FALSE,"non fresh",NA,1
"2013-11-05T00:00:00Z","male",910,FALSE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",910,FALSE,"non fresh",NA,1
"2015-12-02T00:00:00Z","male",910,FALSE,"fresh",NA,1
"2013-11-05T00:00:00Z","female",915,FALSE,"non fresh","spawned",1
"2013-11-05T00:00:00Z","male",915,FALSE,"fresh",NA,1
"2013-11-05T00:00:00Z","male",925,FALSE,"fresh",NA,1
"2014-11-19T00:00:00Z","male",925,FALSE,"fresh",NA,1
"2014-11-24T00:00:00Z","female",930,FALSE,"non fresh","spawned",1
"2014-11-24T00:00:00Z","male",960,FALSE,"non fresh",NA,1
"2013-11-05T00:00:00Z","male",970,FALSE,"non fresh",NA,1
"2018-11-26T00:00:00Z","female",420,TRUE,"fresh","spawned",1
"2011-11-17T00:00:00Z","female",530,FALSE,"fresh","spawned",1
"2015-11-04T00:00:00Z","male",560,FALSE,"non fresh",NA,1
"2011-10-27T00:00:00Z","male",570,FALSE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",570,FALSE,"non fresh",NA,1
"2011-10-20T00:00:00Z","male",590,TRUE,"non fresh",NA,1
"2011-11-03T00:00:00Z","female",595,FALSE,"fresh","spawned",1
"2013-12-27T00:00:00Z","male",595,FALSE,"fresh",NA,1
"2013-11-13T00:00:00Z","male",595,TRUE,"non fresh",NA,1
"2011-11-03T00:00:00Z","male",600,FALSE,"non fresh",NA,1
"2011-11-23T00:00:00Z","unknown",600,FALSE,"non fresh",NA,1
"2014-11-04T00:00:00Z","male",610,TRUE,"fresh",NA,1
"2013-12-04T00:00:00Z","male",615,TRUE,"fresh",NA,1
"2011-12-08T00:00:00Z","male",630,FALSE,"non fresh",NA,1
"2015-11-19T00:00:00Z","male",630,FALSE,"non fresh",NA,1
"2014-11-19T00:00:00Z","male",630,TRUE,"non fresh",NA,1
"2013-11-05T00:00:00Z","female",640,FALSE,"non fresh","spawned",1
"2011-11-17T00:00:00Z","male",640,FALSE,"non fresh",NA,1
"2013-10-22T00:00:00Z","male",650,FALSE,"fresh",NA,1
"2013-11-13T00:00:00Z","male",650,FALSE,"non fresh",NA,1
"2014-12-01T00:00:00Z","male",655,FALSE,"fresh",NA,1
"2011-12-08T00:00:00Z","female",695,FALSE,"non fresh","spawned",1
"2013-11-13T00:00:00Z","male",695,TRUE,"fresh",NA,1
"2011-12-08T00:00:00Z","female",700,FALSE,"non fresh","spawned",1
"2013-11-13T00:00:00Z","male",720,FALSE,"non fresh",NA,1
"2013-10-15T00:00:00Z","female",730,FALSE,"non fresh","spawned",1
"2011-10-13T00:00:00Z","female",730,TRUE,"non fresh","spawned",1
"2013-11-05T00:00:00Z","female",745,FALSE,"fresh","spawned",1
"2011-11-23T00:00:00Z","male",755,FALSE,"fresh",NA,1
"2013-10-22T00:00:00Z","male",760,FALSE,"non fresh",NA,1
"2013-11-19T00:00:00Z","male",760,FALSE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",770,FALSE,"fresh",NA,1
"2013-10-29T00:00:00Z","male",780,TRUE,"fresh",NA,1
"2011-11-23T00:00:00Z","female",790,FALSE,"fresh","spawned",1
"2019-11-13T00:00:00Z","male",790,FALSE,"fresh",NA,1
"2015-11-19T00:00:00Z","male",795,FALSE,"non fresh",NA,1
"2013-11-05T00:00:00Z","female",800,FALSE,"fresh","spawned",1
"2011-11-17T00:00:00Z","male",800,FALSE,"fresh",NA,1
"2015-11-04T00:00:00Z","female",810,FALSE,"non fresh","spawned",1
"2013-10-29T00:00:00Z","female",815,FALSE,"fresh","spawned",1
"2013-10-29T00:00:00Z","male",815,FALSE,"non fresh",NA,1
"2013-11-05T00:00:00Z","male",815,TRUE,"non fresh",NA,1
