"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2013-11-13","male",650,FALSE,"non fresh",NA,1
"2014-12-01","male",655,FALSE,"fresh",NA,1
"2011-12-08","female",695,FALSE,"non fresh","spawned",1
"2013-11-13","male",695,TRUE,"fresh",NA,1
"2011-12-08","female",700,FALSE,"non fresh","spawned",1
"2013-11-13","male",720,FALSE,"non fresh",NA,1
"2013-10-15","female",730,FALSE,"non fresh","spawned",1
"2011-10-13","female",730,TRUE,"non fresh","spawned",1
"2013-11-05","female",745,FALSE,"fresh","spawned",1
"2011-11-23","male",755,FALSE,"fresh",NA,1
"2013-10-22","male",760,FALSE,"non fresh",NA,1
"2013-11-19","male",760,FALSE,"non fresh",NA,1
"2013-11-13","male",770,FALSE,"fresh",NA,1
"2013-10-29","male",780,TRUE,"fresh",NA,1
"2011-11-23","female",790,FALSE,"fresh","spawned",1
"2019-11-13","male",790,FALSE,"fresh",NA,1
"2015-11-19","male",795,FALSE,"non fresh",NA,1
"2013-11-05","female",800,FALSE,"fresh","spawned",1
"2011-11-17","male",800,FALSE,"fresh",NA,1
"2015-11-04","female",810,FALSE,"non fresh","spawned",1
"2013-10-29","female",815,FALSE,"fresh","spawned",1
"2013-10-29","male",815,FALSE,"non fresh",NA,1
"2013-11-05","male",815,TRUE,"non fresh",NA,1
"2013-11-05","male",820,FALSE,"non fresh",NA,1
"2013-11-05","female",830,FALSE,"non fresh","spawned",1
"2013-10-22","female",835,FALSE,"non fresh","unspawned",1
"2013-11-19","male",840,TRUE,"non fresh",NA,1
"2013-11-05","male",845,FALSE,"non fresh",NA,1
"2013-11-05","female",850,FALSE,"non fresh","spawned",1
"2013-11-26","male",850,FALSE,"fresh",NA,1
"2013-11-13","male",865,FALSE,"fresh",NA,1
"2013-11-13","male",865,FALSE,"non fresh",NA,1
"2013-10-22","male",870,TRUE,"non fresh",NA,1
"2014-12-01","male",875,FALSE,"fresh",NA,1
"2013-11-05","male",880,FALSE,"fresh",NA,1
"2014-11-04","male",880,FALSE,"non fresh",NA,1
"2013-11-13","female",890,FALSE,"non fresh","spawned",1
"2014-12-08","female",890,FALSE,"non fresh","spawned",1
"2013-11-05","male",900,FALSE,"fresh",NA,1
"2013-11-05","male",900,FALSE,"non fresh",NA,1
"2014-12-08","female",910,FALSE,"non fresh","spawned",1
"2013-10-29","male",910,FALSE,"non fresh",NA,1
"2013-11-13","male",910,FALSE,"fresh",NA,1
"2014-11-04","male",915,FALSE,"non fresh",NA,1
"2013-11-13","female",920,FALSE,"non fresh","spawned",1
"2011-10-27","male",920,FALSE,"fresh",NA,1
"2013-11-05","male",920,FALSE,"fresh",NA,1
"2013-11-05","male",920,FALSE,"non fresh",NA,1
"2013-10-22","male",925,FALSE,"non fresh",NA,1
"2013-11-05","male",925,FALSE,"fresh",NA,1
"2013-11-19","male",925,FALSE,"non fresh",NA,1
"2013-11-13","male",930,FALSE,"non fresh",NA,1
"2014-11-04","male",930,FALSE,"non fresh",NA,1
"2013-11-05","male",940,FALSE,"non fresh",NA,1
"2014-12-08","female",945,FALSE,"non fresh","spawned",1
"2013-10-29","male",960,FALSE,"non fresh",NA,1
"2011-10-20","male",970,TRUE,"non fresh",NA,1
"2013-10-22","male",970,TRUE,"non fresh",NA,1
"2013-10-29","female",980,FALSE,"fresh","spawned",1
"2011-10-13","male",980,FALSE,"non fresh",NA,1
"2013-11-05","male",990,FALSE,"non fresh",NA,1
"2013-10-15","male",1005,FALSE,"non fresh",NA,1
"2011-12-15","male",1050,FALSE,"non fresh",NA,1
"2011-11-10","male",595,FALSE,"fresh",NA,1
"2014-10-20","male",605,FALSE,"fresh",NA,1
"2016-11-07","male",605,TRUE,"non fresh",NA,1
"2011-10-20","male",610,TRUE,"non fresh",NA,1
"2013-10-29","male",610,TRUE,"fresh",NA,1
"2014-11-11","male",630,FALSE,"fresh",NA,1
"2013-12-18","male",670,FALSE,"fresh",NA,1
"2013-11-13","male",710,FALSE,"non fresh",NA,1
"2015-12-02","female",740,FALSE,"fresh","spawned",1
"2013-10-22","male",740,FALSE,"fresh",NA,1
"2015-11-19","male",740,FALSE,"non fresh",NA,1
"2021-12-09","female",745,FALSE,"fresh","spawned",1
"2013-11-05","male",760,TRUE,"non fresh",NA,1
"2011-12-01","female",770,FALSE,"non fresh","spawned",1
"2011-12-08","female",775,FALSE,"non fresh","spawned",1
"2015-12-16","female",775,FALSE,"fresh","spawned",1
"2020-11-19","male",775,FALSE,"fresh","unspawned",1
"2013-10-01","female",780,FALSE,"non fresh","spawned",1
"2013-10-01","male",782,TRUE,"fresh",NA,1
"2014-11-19","female",795,FALSE,"fresh","spawned",1
"2013-10-15","male",795,FALSE,"fresh",NA,1
"2011-10-20","male",810,FALSE,"non fresh",NA,1
"2013-10-29","male",810,FALSE,"fresh",NA,1
"2014-11-24","male",815,FALSE,"fresh",NA,1
"2013-10-22","male",815,TRUE,"fresh",NA,1
"2013-11-05","male",820,FALSE,"non fresh",NA,1
"2013-11-13","male",820,FALSE,"fresh",NA,1
"2013-11-19","male",820,FALSE,"fresh",NA,1
"2016-11-01","male",820,FALSE,"non fresh",NA,1
"2013-11-13","male",820,TRUE,"fresh",NA,1
"2013-11-13","male",830,FALSE,"fresh",NA,1
"2014-11-19","female",845,FALSE,"non fresh","spawned",1
"2021-11-17","male",845,FALSE,"non fresh","unspawned",1
"2013-10-22","male",850,TRUE,"non fresh",NA,1
"2011-12-01","female",860,FALSE,"non fresh","spawned",1
"2014-11-11","female",860,FALSE,"fresh","spawned",2
"2011-10-13","female",860,TRUE,"non fresh","unspawned",1
"2013-09-24","male",860,TRUE,"fresh",NA,1
"2013-10-29","male",860,TRUE,"non fresh",NA,1
